所属省份,区划名称,面积/平方公里,常住人口/万人（2010）,人口密度/人/平方公里,GDP/亿元,GDP年份,人均GDP/万元,省级序列,城市分级,流动人口/万人（2018）,流动人口/万人（2017）,铁路干线1-特等站,铁路干线2-五纵三横,民航年流量/万人（2018）前五十,民航年流量/万人（2018）前一百,经度,纬度,Suo Shu Sheng Fen ,Qu Hua Ming Cheng
西藏,山南,"79,253.53",38,4.74,146,2017,3.89,,,,,,,,,91.766529,29.236023,Xi Zang,Shan Nan
新疆,和田,"249,146.59",188,7.56,145,2012,0.77,,,,,,,,121.8,79.92533,37.110687,Xin Jiang ,He Tian 
西藏,那曲,"369,674.00",50,1.36,120,2017,2.38,,,,,,,,,92.060214,31.476004,Xi Zang,Na Qu 
云南,迪庆,"23,185.59",37,16.15,114,2012,3.03,,,,,,,,,99.706463,27.826853,Yun Nan,Di Qing 
甘肃,甘南,"38,311.56",68,17.75,97,2012,1.42,,,,,,,,,102.911008,34.986354,Gan Su ,Gan Nan
青海,海北,34389.89,28,8.23,83,2017,2.93,,,,,,,,,100.901059,36.959435,Qing Hai ,Hai Bei 
新疆,图木舒克,"1,901.10",15,77.75,80,2012,5.41,,,,,,,,,79.077978,39.867316,Xin Jiang ,Tu Mu Shu Ke 
新疆,阿拉尔,"4,196.00",17,39.69,80,2012,4.8,,,,,,,,,81.285884,40.541914,Xin Jiang ,A La Er 
青海,黄南,18200,27,15.07,79,2017,2.88,,,,,,,,,102.019988,35.517744,Qing Hai ,Huang Nan
云南,怒江,"14,588.92",53,36.28,74,2012,1.4,,,,,,,,,98.854304,25.850949,Yun Nan,Nu Jiang 
西藏,林芝,"117,000.00",23,1.97,72,2012,3.13,,,,,,,,,94.362348,29.654693,Xi Zang,Lin Zhi 
青海,玉树,267000,41,1.53,64,2017,1.57,,,,,,,,,97.008522,33.004049,Qing Hai ,Yu Shu 
新疆,克孜勒苏,"72,468.08",50,6.9,60,2012,1.2,,,,,,,,,76.172825,39.713431,Xin Jiang ,Ke Zi Le Su 
西藏,阿里,"337,174.95",11,0.32,47,2017,4.4,,,,,,,,,80.105498,32.503187,Xi Zang,A Li 
青海,果洛,76400,21,2.69,37,2017,1.81,,,,,,,,,100.242143,34.4736,Qing Hai ,Guo Luo 
